outcomes	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
BubbleSound	0.14745472282784222	0.18343444401912443	0.23237592525353012	0.1756918202478541	0.20969388792992877	0.1988165121483601	0.1969314055324212	0.16986957067886774	0.1406464833028046	0.13913108119834589	0.15877455364503923	0.14376699382699706	0.14745472282784222	0.11431435311125428	0.09826644561107586	0.1024130523609458	0.11845349459494225	0.15877455364503923	0.12685560099259313	0.13084636028570482	0.1140535248000039	0.1756918202478541	0.1045632397180582	0.1128415050857017	0.1197279287751147	0.13913108119834589	0.1406464833028046	0.12689601663822503	0.10814397685052547	0.05862334372358133	0.10814397685052547	0.02045917706390911	0.12613798706625212	0.02045917706390911	0.11558912664014341	0.13913108119834589	0.14376699382699706	0.11558912664014341	0.15877455364503923	-0.0026430252219338105	-0.017254962993245485	-0.019765764772772705	-0.030231077570013934	-0.01977568547810498	-0.008797757733391885	-0.01824892250031524	0.002282723478237261	-0.018009360897104303	-0.014367519748835246	-0.011477201039681868	0.002973433117734398	-0.014367519748835246	-0.01966675629807045	-0.0028920425386494324	-0.0008355286218349562	0.0030149322154145795	-0.0008988913990836912	-0.00710589873083079	0.06348361047149183	0.035925667997726216	0.038769026602366564	0.019269094978702356	0.023836955237083998	0.02635410647638816	0.018211924486232815	0.034980412611593854	0.03697396919114868	0.02946741070535667	0.026435439141394197	0.03480256493922658	0.0280439432451831	0.03417672527398139	0.03355142021430365	0.04908119442665303	0.03628346631706922	0.02608196945768711	0.047005824441991716	0.02530219595116696	0.026403312391094117	0.03603675323150952	0.029475443176494646	0.026403312391094117	0.027172398444128217	0.0319555248919359	0.03673430958310358	0.005227103733537329	-0.012473388521793468	-0.01231167321326022	-0.011185129994921347	-0.006962562107757317	-0.016350284087227086	-0.0029483092485165343	-0.0014661396898745325	-0.0002985341236714052	-0.0029483092485165343	-0.0002985341236714052	-0.010155798228357778	-0.01069367922002825	-0.008647853789014007	-0.008575180308470461	0.0031706319528567476	0.005422590677333178	-0.013085218754217092	-0.00981647881150256	-0.0016139894957292586	-0.00751240247292854	-0.013562904932851658	-0.011623296001681355	-0.010987308704804685	-0.008415992551503115	-0.0032897776363268088	-0.010155798228357778	-0.00981647881150256	-0.008245915161749506	-0.010155798228357778	-0.0014661396898745325	-0.008962433954828476	-0.008173746720729418	-0.008093573513743442	-0.006962562107757317	-0.0073885395267538415	-0.005563259305537521	-0.00279807187160509	0.03735618537394655	0.004640545859740175	-0.007557595248325055	-0.0029957309351591804	-0.003534723445625818	-0.00795649123021567	-0.002925517959383387	0.035008622804758	-0.004100169386177156	0.0053990987852844605	0.00226879387829905	0.05927386326820125	0.003104117485497364	0.016963622036169315	0.0025473789447901206	-0.0035022785218137725	-0.0038646959736820885	-0.007557595248325055	-0.00508352758711032	-0.0034560774750370337	-0.0035022785218137725	-0.00795649123021567	0.016963622036169315	-0.0029957309351591804	-0.002925517959383387	-0.009679571294138427	-0.002494744462062054	-0.0038646959736820885
BlowingAndSwelling	0.19447892099700026	0.20305037789844482	0.22200806500697895	0.22527206340084166	0.14861769914660983	0.1906177918247316	0.15752078583132312	0.17568666710276115	0.17631954206100772	0.14382745792559215	0.2410972325471756	0.1361475344379963	0.19447892099700026	0.24479229351542103	0.24685493112142876	0.22010186997860787	0.22579733652662404	0.2410972325471756	0.2510767975122236	0.21579545133168174	0.20211848646175748	0.22527206340084166	0.20617467083750962	0.1974649478690285	0.16767880534422444	0.14382745792559215	0.17631954206100772	0.15586633745438297	0.17239507351767536	0.07993301042398776	0.17239507351767536	0.018195606723906972	0.15821732196728494	0.018195606723906972	0.16123164285325187	0.14382745792559215	0.1361475344379963	0.16123164285325187	0.2410972325471756	0.05219099245339287	0.0177599590327813	0.03493493300880161	0.04201040807471102	0.03147089683174509	0.006838427602695291	0.02736967866423058	0.0015191609406792136	0.02452195943313298	0.016107902947890988	0.006415933076463591	0.00845673118582986	0.016107902947890988	0.023768252174500046	-0.0017971195452483775	-0.0013228453601954928	0.0013308109821242246	-0.0014881203916096014	0.006120399926760986	0.03945708982654639	0.02922549814555182	0.001552401083569516	0.01789397565469661	0.016312182341502085	0.006026999798014979	0.023388000959287662	-0.0021985982908774623	-0.001895861157381676	0.006135619617875298	-0.005847067749146853	0.0028306920239482627	-0.004528573554888004	0.003706579853843804	0.00349569604703087	-0.010583910161194405	-0.003807737095908282	-0.0064461937783569755	-0.009667248297386868	-0.005594441097420589	-0.00652896288475247	0.0005031610880453568	-0.007387127003243054	-0.00652896288475247	0.0026344748221605267	-0.00535056272648928	-0.004075988809888895	-0.0022092585364461327	-0.0051625234722499245	4.3272861644680534e-05	-0.0061531065655256265	-0.0072958350344720785	0.0141321299663881	0.009219813918086333	0.00335223340510815	0.0014728823384328035	0.009219813918086333	0.0014728823384328035	-0.0062892996502124845	0.0030886256431326593	-0.004638054301653248	-0.0040668930187857	-0.0001115756300120738	0.015140860520691303	0.007359828833901993	-0.005773720609057958	0.002843637943413682	-0.004438135635649509	0.008328232607812886	0.003485829732564842	0.003700354410210128	-0.0045158285645423	0.0030523304854842004	-0.0062892996502124845	-0.005773720609057958	-0.005469426989525381	-0.0062892996502124845	0.00335223340510815	-0.003819402207978475	-0.004708696020797196	-0.0038971869323075198	-0.0072958350344720785	-0.005552476386969392	-0.017271935439356248	-0.0068522942672794565	-0.005377770734572201	0.004185488557922432	0.006225765293751678	-0.004755983880182016	-0.007269597152468392	0.019384714333824066	-0.004588848644969265	0.001854129036162317	0.0017811322932551792	0.0030125234542740954	-0.018227334857424483	0.0665314886831404	0.0013667938041864597	0.017354154770949662	0.01323813450919849	-8.80747553374426e-05	0.002827147643481802	0.006225765293751678	0.0020311091944824017	0.002232203120380811	-8.80747553374426e-05	0.019384714333824066	0.017354154770949662	-0.004755983880182016	-0.004588848644969265	0.01493299941704327	-0.004363629397398459	0.002827147643481802
SwellingOfTheLips	0.2428508413961885	0.23521942597372095	0.29136632420448644	0.253023739745905	0.21987145572953204	0.2272935987722039	0.3490863085102352	0.26716757212709435	0.2711713977627008	0.33376441203395796	0.3377689954617755	0.2865504596548128	0.2428508413961885	0.25227076361126904	0.31175592052751144	0.23564220492815965	0.24113646860802215	0.3377689954617755	0.31664352117054995	0.23736127853702607	0.24779688222937868	0.253023739745905	0.23298111852454859	0.22766314350126476	0.39833065766798886	0.33376441203395796	0.2711713977627008	0.30479674179937055	0.42586176055111935	0.17075560759198172	0.42586176055111935	0.1571500638351362	0.4163718231569384	0.1571500638351362	0.33173893482140504	0.33376441203395796	0.2865504596548128	0.33173893482140504	0.3377689954617755	0.08780548625746888	0.01029323655616831	0.12333923440290198	0.04471181382932533	0.008264052932150882	0.0030651932680603525	0.011273494196654585	0.009987772599951482	0.009785974884897887	0.009334852890501552	0.008760531807633169	0.009188581953281863	0.009334852890501552	0.006232705947226948	0.015232747633372954	0.016445353223924063	0.027138988416275555	0.016482195943989766	0.002458791742599921	0.04921293883143566	0.005987155642698985	0.00957181871220837	0.009984199823687333	0.009407390782719856	0.0090310852585267	0.0065033070415580554	0.015497739078862654	0.016722781984315985	0.00201200939521368	-0.007779457037985171	-0.006496184600838624	-0.006028064667515414	-0.006823676422573879	-0.008097790859540543	0.0035115103128348646	-0.007602772723094984	-0.010151852193511675	0.009277280324607446	-0.0024949490924314694	-0.011250027102034092	-0.01057355107432356	-0.008703290882236241	-0.011250027102034092	-0.007147736281487384	-0.006992417716421971	-0.0056455433275137	0.04637687926866972	-0.002680778411246811	-0.011478028014166296	-0.011540874165345327	-0.00813783010557014	-0.004771330598885003	0.005996661776236346	0.007447583878303261	0.008302383181136295	0.005996661776236346	0.008302383181136295	-0.009507009140900724	-0.007331619546141864	-0.006369304482953241	-0.00522204122470347	-0.0034464600584356714	-0.00597746552838436	-0.0020886596483546873	-0.0072300297748123235	-0.0060257346335247704	-0.005939516054881006	-0.0011160834544318857	-0.0076900362692209874	-0.006433612426375938	-0.005561798058441491	0.009352175226393996	-0.009507009140900724	-0.0072300297748123235	-0.009058619012534673	-0.009507009140900724	0.007447583878303261	-0.0071994917117933896	-0.005679123953701497	-0.004947280175690052	-0.00813783010557014	-0.006807917128502836	0.05509273549252408	-0.008094083744183156	-0.005266321675922358	-0.005106227223815093	-0.0027827034056920673	-0.006067669486101537	0.008915049985129446	-0.0052580325204865915	-0.006079333857458076	-0.005833885114630582	-0.005728007688047228	0.012074433222760418	0.038007316009519745	0.1475645341744208	0.045377635588320586	0.009407973582070722	-0.004342550847761659	-0.008828797437333773	-0.0038800121902245414	-0.0027827034056920673	-0.005257376360482862	-0.004915709916414412	-0.008828797437333773	-0.0052580325204865915	0.009407973582070722	-0.006067669486101537	-0.006079333857458076	0.018183785788634447	-0.004500932926679275	-0.0038800121902245414
AbruptOnset	0.030741930829947733	0.10888293272419519	0.09427054337751564	0.029189275823052974	0.015952233448277127	0.048598797943472986	0.09406891789002889	0.12352622959570819	0.031979883175397204	0.03168253326281426	0.09682524326177723	-0.010762314003115368	0.030741930829947733	0.11437328827742707	0.16196643204764105	0.11210903215976264	0.1028605156766045	0.09682524326177723	0.09977480282461913	0.034113161035164166	0.032759959967529874	0.029189275823052974	0.15849258394540033	0.042299896474065984	0.09662361777429046	0.03168253326281426	0.031979883175397204	0.033815811122581224	0.17155104942652566	-0.002788979382100654	0.17155104942652566	0.03350227507652196	0.09449033991452349	0.03350227507652196	0.10874324277481644	0.03168253326281426	-0.010762314003115368	0.10874324277481644	0.09682524326177723	0.5474535917181343	0.5119299856576454	0.5583847281480211	0.5436342252295445	0.4956885735351687	0.4369860036796944	0.4587729717150185	0.43270537351833055	0.4823544981181163	0.5251095321892386	0.4296934192406059	0.4227284070312607	0.5251095321892386	0.5387029741947386	0.4341943146889351	0.4228775708689233	0.4046260088960127	0.41722230701259666	0.4294971213367614	0.5405581811941145	0.5375888991924709	0.41063779844340886	0.48748381373926597	0.49057599372114813	0.4206199798761584	0.5297836454026452	0.4254376309356295	0.40917905011517763	0.4082934803991693	0.06649380786586287	0.04513168036996122	0.041750851704086545	0.02193910398296249	0.02109837559329257	0.029972547240216127	0.018683574897055133	0.07543986785311756	0.04136404864624349	0.08194037249564878	0.0683670291216074	0.03881974447506452	0.0765127089834684	0.0683670291216074	0.06054685542084874	0.032615837812160375	0.027335285473774642	0.03954023158199496	0.08905133851132904	0.11720440508448926	0.07750074401006773	0.09536266067208449	0.03343311114262536	0.023417722824628076	0.028098387094601072	0.03330868861285069	0.023417722824628076	0.03330868861285069	0.09358656225410214	0.06753843987160191	0.0198179587267789	0.04093530898387361	0.060893986544910406	0.0358750792912533	0.03559644912436777	0.08686248821201337	0.06635320586835847	0.07760112465020329	0.010301562570344286	0.03591176143963133	0.03697607821281254	0.06297726228216456	0.025949454672169164	0.09358656225410214	0.08686248821201337	0.09147154343902816	0.09358656225410214	0.028098387094601072	0.033527161792977135	0.02606004282546609	0.0325082330199959	0.09536266067208449	0.09061644495851537	0.045131792342003	-0.016141433873709494	0.003517279335461281	-0.025916658530328516	-0.02181046160240739	0.038392603789455894	0.022200081563220706	-0.02035740599285639	0.04341108069889496	0.012118284852117925	-0.014864038568831412	-0.03886381630371419	-0.01698828872367922	-0.032770683989460606	-0.030233572322180775	-0.03173254245519064	-0.010834868752217158	0.03900439195661326	-0.0101106329913627	-0.02181046160240739	0.050720913289477934	0.02945642259583163	0.03900439195661326	-0.02035740599285639	-0.03173254245519064	0.038392603789455894	0.04341108069889496	-0.016859556711591298	-0.006002949933796603	-0.0101106329913627
Twistedness	0.009603573692960153	0.17820794434080645	0.13021966489415407	0.002701923043433271	0.16119023984264735	0.12527074411127648	0.12441104126327363	0.12527074411127648	-0.0008597028480028476	-0.004692503813746633	0.00408921793487475	0.026614967388332557	0.009603573692960153	0.0033262043058822697	-0.0008597028480028476	0.018995611179819946	0.012570599706005992	0.00408921793487475	0.002794838538775065	-0.0008597028480028476	0.028571367444862567	0.002701923043433271	0.005439243013551132	-0.0010969683399878448	-0.0017194056960056952	-0.004692503813746633	-0.0008597028480028476	-0.004692503813746633	-0.0017194056960056952	0.06429433564051121	-0.0017194056960056952	0.010031878147632178	-0.0017194056960056952	0.010031878147632178	-0.004692503813746633	-0.004692503813746633	0.026614967388332557	-0.004692503813746633	0.00408921793487475	0.14305115189061474	0.11982897987435491	0.14583565033152374	0.1493500977521687	0.1493500977521687	0.12852897617187647	0.14014034002729786	0.12196516565159338	0.178057165264151	0.15332375860067132	0.2478331652141709	0.15254229359322707	0.15332375860067132	0.23020139892265387	0.2239024530610999	0.16533915288171233	0.16914514308670156	0.1700754245236946	0.12703610901245754	0.26918159884989407	0.275480544711448	0.3230702250725688	0.32093403929533026	0.3030818261287639	0.37316439014107405	0.355532623849557	0.34923367798800303	0.2954066494505977	0.3281411684334329	0.5087973949842929	0.4893160052896452	0.4813878198339034	0.551926786347282	0.5434948492294445	0.5698324376325794	0.5325991183233186	0.518864653607785	0.6209972720384395	0.5508683418842669	0.5700024750099018	0.5640889384465058	0.5387057278382867	0.5700024750099018	0.48550963245820367	0.4815746820597486	0.5396067306338731	0.45372602819833957	0.4246020778399893	0.41436370047317045	0.43740221682122354	0.33369071150465834	0.3980149006645094	0.449312498791122	0.39605157841216515	0.4386786463327152	0.449312498791122	0.4386786463327152	0.30673197878505665	0.35940637708765233	0.3531880279244708	0.3147954717594708	0.3737979882561625	0.3103386169158313	0.3653346364581561	0.28767454996340613	0.27362297039796146	0.2483282996056207	0.32765915373413035	0.30507250798520075	0.31315120287014553	0.2668814421986422	0.39029378391828284	0.30673197878505665	0.28767454996340613	0.29310491874398426	0.30673197878505665	0.39605157841216515	0.295971111832557	0.29980232162227166	0.2752031253820386	0.33369071150465834	0.2730312698858838	0.3265252565748842	0.0226221439140106	0.10735814286365344	0.027165986019859596	0.03136494949932056	0.011943138222514865	0.0474860356114675	0.030843012403237738	0.007354496619472272	0.11514199664959958	0.010378391132987259	0.053304837170574444	0.016789013042283363	0.06309883276520545	0.07611043339441013	0.06105936026290218	-0.009771416343036294	0.03085971947702508	-0.015888219570823387	0.03136494949932056	-0.03170928878867603	-0.03839317149159789	0.03085971947702508	0.030843012403237738	0.06105936026290218	0.011943138222514865	0.007354496619472272	0.02483496743977205	-0.014245261001716249	-0.015888219570823387
JarringHarshGratingSound	-0.0011681863346616925	-0.0007806965371136821	-0.0007806965371136821	-0.0016937872468613523	0.02200287066896006	-0.0007806965371136821	-0.0012177093348226507	-0.0007806965371136821	-0.0004370127977089687	0.006272881124023157	-0.0004370127977089687	0.0193564483300969	-0.0011681863346616925	0.008234846458291032	-0.0004370127977089687	-0.005022062954837569	0.02125064381169786	-0.0004370127977089687	0.008796390802291032	-0.0004370127977089687	0.027684711713189206	-0.0016937872468613523	-0.0004370127977089687	-0.0009308581618761118	-0.0008740255954179373	0.006272881124023157	-0.0004370127977089687	0.006272881124023157	-0.0008740255954179373	0.04801574344592463	-0.0008740255954179373	-0.0010069942176070762	-0.0008740255954179373	-0.0010069942176070762	0.006272881124023157	0.006272881124023157	0.0193564483300969	0.006272881124023157	-0.0004370127977089687	0.14910266486875473	0.28852982306498876	0.15594343108283124	0.14910266486875473	0.14910266486875473	0.26336197239623266	0.21283465214010672	0.2782746011208241	0.15468979434900557	0.25551321338654914	0.15500987962899135	0.24663313398925418	0.25551321338654914	0.14816911341491484	0.14816911341491484	0.15610583857055205	0.14764545396598092	0.14734383324207187	0.27821426736959765	0.14875898112935002	0.14875898112935002	0.20263404487411807	0.21288926681828274	0.15479821303595284	0.15559974734342652	0.14875898112935002	0.14875898112935002	0.14793370095650704	0.2025737111228916	0.4150339272556058	0.3412174440424761	0.36240928322708454	0.37748076367867306	0.36324065995117316	0.4435531504791995	0.4033832269293436	0.3622340540101765	0.3556109387473865	0.3429427597092497	0.30835899026540836	0.30549193911179523	0.38201731757716617	0.30835899026540836	0.3042957138995961	0.35035508934931325	0.3461362452446765	0.355886675886055	0.34235289199481456	0.3503137738522379	0.3077691225509732	0.4637388486682902	0.3275232794606068	0.38114315045101177	0.4477647979311775	0.4325678811495714	0.38114315045101177	0.4325678811495714	0.4527872389814739	0.30370584618516094	0.35039215330527107	0.3836347941434332	0.3077691225509732	0.32649915314377653	0.37901595675990263	0.5077041890236055	0.42655800028918206	0.4301072045165107	0.4185983520583646	0.40997261244992994	0.42365117183342976	0.4463507496166705	0.4737226359754734	0.4527872389814739	0.5077041890236055	0.4731867415689012	0.4527872389814739	0.4477647979311775	0.44812098080755425	0.46891512618854925	0.422427045599251	0.4637388486682902	0.44636451897333873	0.36367786979853955	-0.015231174039194977	0.00404766541683992	0.02766851353428247	0.006512570932219878	0.003202560936806237	-0.014795963298673595	0.023927457886903862	0.011810844087491786	-0.017762670033565374	0.026961333472636316	0.060106346152779	-0.007219344575568488	0.019661819217397444	0.019770918747832805	0.01902719380227294	0.003765024140312142	0.08230254559504895	0.05562895152038903	0.006512570932219878	0.09472946130042104	0.05665807941796504	0.08230254559504895	0.023927457886903862	0.01902719380227294	0.003202560936806237	0.011810844087491786	0.004122112725747026	0.013437570113644413	0.05562895152038903
DownwardMotion	0.02392902937055462	0.025441840027656308	0.025441840027656308	0.01121844319910592	0.04925390930967996	0.025441840027656308	0.03265017153786903	0.025441840027656308	0.007208331510212721	0.014973608507147074	0.007208331510212721	0.03878567778917073	0.02392902937055462	0.007208331510212721	0.007208331510212721	0.031674256780743634	0.04242149804919282	0.007208331510212721	0.007208331510212721	0.007208331510212721	0.05475755837726565	0.01121844319910592	0.007208331510212721	0.015387372700017833	0.014416663020425442	0.014973608507147074	0.007208331510212721	0.014973608507147074	0.014416663020425442	0.06623356733121646	0.014416663020425442	0.019149744989482277	0.014416663020425442	0.019149744989482277	0.014973608507147074	0.014973608507147074	0.03878567778917073	0.014973608507147074	0.007208331510212721	0.0	0.012396485377454462	0.0	0.0	0.0	0.012396485377454462	0.004014422808751805	0.012396485377454462	0.008179041189805112	0.008166336584804753	0.018776875189951296	0.015611911538236668	0.008166336584804753	0.018776875189951296	0.018776875189951296	0.030336392904506716	0.034379408727102725	0.028789138427902594	0.008166336584804753	0.018233508517443587	0.018233508517443587	0.02495740603514666	0.02495740603514666	0.02666701703488717	0.018233508517443587	0.018233508517443587	0.018233508517443587	0.02824577175539488	0.020727257242496952	0.05545303379554324	0.03056956884551642	0.04209445161953203	0.04872913627784016	0.018233508517443587	0.0792651030775669	0.026262354134947197	0.08472416003872216	0.048883499384618674	0.018233508517443587	0.07800026252101908	0.08215512734163041	0.05122288500289353	0.07800026252101908	0.03056956884551642	0.05833313627784016	0.04610887442828383	0.027359280734354504	0.018776875189951296	0.04927250295034787	0.07854362919352678	0.03866196434520133	0.09913478536316692	0.12873131350306452	0.061518984546057115	0.09201461230645369	0.12873131350306452	0.09201461230645369	0.07216323938102995	0.03111293551802413	0.04703160976419182	0.03188978871959205	0.07854362919352678	0.04058164096243033	0.06570879429937668	0.04289211313785104	0.01800864818782422	0.031080785438443947	0.06570879429937668	0.004014422808751805	0.03451005056914838	0.029533530961839825	0.0962447610991034	0.07216323938102995	0.04289211313785104	0.008166336584804753	0.07216323938102995	0.061518984546057115	0.012043268426255416	0.04253889618665199	0.03590421152834385	0.03866196434520133	0.03202727968689319	0.0077652769969343526	0.3890011211751914	0.3244132220077986	0.31222639814866315	0.4119741131001533	0.31096584268340005	0.3558295450709449	0.31283214964757267	0.31173137886767066	0.3087888647861138	0.3157122820602914	0.38166171652832365	0.3431896868928579	0.4083093632506311	0.40782705850545165	0.37973098359063223	0.31019833116010115	0.3307911846551322	0.28532694476009846	0.4119741131001533	0.29109911112920006	0.2638373018100807	0.3307911846551322	0.31283214964757267	0.37973098359063223	0.31096584268340005	0.31173137886767066	0.2873051567240372	0.2791229139783449	0.28532694476009846
LiquidMotion	0.0	0.0	0.0	0.01863764	0.00931882	0.0	0.0	0.0	0.0	0.0	0.0	0.00931882	0.0	0.0	0.0	0.03822700000000001	0.0179951270996	0.0	0.0	0.0	0.045012073979947845	0.01863764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0273139470996	0.0	0.008676307099600001	0.0	0.008676307099600001	0.0	0.0	0.00931882	0.0	0.0	0.0	0.019700000000000002	0.0	0.0	0.0	0.019700000000000002	0.008340639780747842	0.019700000000000002	0.0	0.029400000000000003	0.017997415020000004	0.048609000000000006	0.029400000000000003	0.017997415020000004	0.017997415020000004	0.053191116753208006	0.017997415020000004	0.03599483004000001	0.029400000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017997415020000004	0.0097	0.009509000000000002	0.027016946880347847	0.026425730313208003	0.009509000000000002	0.0	0.018827820000000002	0.016681279561495684	0.01901882	0.00931882	0.0	0.01901882	0.046904127099600006	0.019209000000000004	0.01901882	0.027016946880347847	0.009509000000000002	0.03476637009395585	0.0179951270996	0.017997415020000004	0.027506415020000008	0.03701623502	0.038909000000000006	0.06489925419920001	0.07524176709960001	0.0370139470996	0.046522947099600004	0.07524176709960001	0.046522947099600004	0.03871882	0.045014361900347855	0.017937315293208002	0.043107009874703686	0.03701623502	0.026425730313208003	0.027504127099600005	0.029209000000000006	0.046716946880347845	0.063322017026416	0.027504127099600005	0.008340639780747842	0.017849639780747842	0.046125730313208005	0.036822947099600004	0.03871882	0.029209000000000006	0.029400000000000003	0.03871882	0.0370139470996	0.025021919342243525	0.034530919342243525	0.051447649655451524	0.038909000000000006	0.055825730313208005	0.0	0.19138812968031968	0.19036672470031968	0.17344999438711167	0.20095494148671167	0.23559099834031969	0.2009572294071117	0.22118599438711167	0.2523258128735277	0.19095794126745952	0.17344999438711167	0.20076394148671167	0.18295981438711167	0.21027376148671167	0.21027376148671167	0.24754904148671167	0.1998757247003197	0.24126881438711167	0.23266114017119874	0.20095494148671167	0.21065794126745954	0.23065794126745956	0.24126881438711167	0.22118599438711167	0.24754904148671167	0.23559099834031969	0.2523258128735277	0.2436582967654595	0.2328479572931517	0.23266114017119874
